,ID,location_ID,longitude,latitude,name,subbasin,locations,language,label,event_id,text,date
0,494301276121731072,g-360630,31.24967,30.06263,Cairo,1090161090,town:cairo;country:egypt,en,1,28,Water main break floods parts of UCLA http://t.co/OiTgoE06FO #Cairo #Egypt #News,2010-07-30 01:59:42
1,494327833263874048,g-5368361,-118.24368,34.05223,Los Angeles,7090684480,adm1:california;town:los angeles,id,1,1937,"Paip air pecah menyebabkan banjir di Universiti California, Los Angeles menyebabkan dua tempat letak kereta... http://t.co/jk2BtVnz25",2010-07-30 03:45:14
2,494463913853874176,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1847,Rutgers coach Kyle Flood says he has a 'good relationship' with Greg Schiano http://t.co/COmZ9ulzzO via @njdotcom,2010-07-30 12:45:58
3,494796534068674560,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,NaN,0,1847,NaN,
4,494829977268146176,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1847,"Im glad coach Kirk Flood will lead us to victory, or at least where no man has gone before. #Rutgers #RFootball #Chop http://t.co/pHjtHas9gT",2010-07-31 13:00:34
5,495010606047821824,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1847,"A picture on the wall in the Hale Center, home of Rutgers Football. The band likes Coach Flood @KyleFloodRU http://t.co/rwNqL7JJku",2010-08-01 00:58:19
6,495017350790668289,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1847,Rutgers coach Kyle Flood all smiles as his players report in for training camp http://t.co/b9CYjSNqDS,2010-08-01 01:25:08
7,495123711071387649,g-5289282,-111.84125,33.30616,Chandler,7090696070,town:chandler,en,0,1960,Severe thunderstorm warning and flash flood warning for chandler this morning as storms continue to intensify. http://t.co/X7Lq1RDRVX,2010-08-01 08:27:46
8,495525926722367488,g-1732891,101.25,3.35,Kuala Selangor,4090020890,town:kuala selangor,id,0,817,"Teringat mee udang penang (@ Mee Udang Banjir, Kuala Selangor in Kuala Selangor, Selangor) https://t.co/hlQmsYip81",2010-08-02 11:06:02
9,495805012929708033,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1847,Rutgers training camp: Kyle Flood cautiously optimistic after first two practices - The Star-Ledger http://t.co/CyAARkYSjV #Flood,2010-08-03 05:35:01
10,497136108463865857,g-5588842,-112.46609,42.92075,Chubbuck,7090465930,town:chubbuck,en,0,1796,"American Falls, Pocatello, Fort Hall, Chubbuck under a Flash Flood Warning until 7:45 @kidknews http://t.co/G4DWdQFaa6",2010-08-06 21:44:19
11,497139824780787712,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848,Rutgers training camp: Gary Nova named starting quarterback by Kyle Flood http://t.co/0jGU1ZT7FT,2010-08-06 21:59:05
12,497141925451792384,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848,Rutgers coach Kyle Flood has announced that senior Gary Nova has been named the team's starting quarterback http://t.co/kEM3Ff5lye,2010-08-06 22:07:26
13,497161697371893760,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848,Kyle Flood named Gary Nova as Rutgers' starting QB today. Nova's mindset as he entered his final training camp: http://t.co/gOvihzh5eQ,2010-08-06 23:26:00
14,497242468627124224,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848,"Sports Briefing | College Football: Rutgers Chooses a Quarterback - http://t.co/LpdMKcXuX7
Coach Kyle Flood said the senior Gary Nova, ...",2010-08-07 04:46:57
15,497474058641215489,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848,Rutgers football coach Kyle Flood's thoughts on Power 5 autonomy and a Power 5-only schedule (quotes via @rydunleavy) http://t.co/vNelgO4YC1,2010-08-07 20:07:12
16,497485019451883520,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848,VIDEO: Rutgers' football team holds a wild ice bath rave after practice with coach Kyle Flood http://t.co/E5OTDjw88F http://t.co/zJ9iSvgybA,2010-08-07 20:50:46
17,498526651912032258,g-4431410,-90.18481,32.298759999999994,Jackson,7090717400,town:jackson,en,0,1997,"Todays #SundaySockChallenge contestants are:
Timothy Dennis
Johnathan ""JJ"" Jackson
Armand Flood
Kelvin Paul http://t.co/vpWkNnU30f",2010-08-10 17:49:50
18,498546619508609024,g-4431410,-90.18481,32.298759999999994,Jackson,7090717400,town:jackson,en,1,1997,NEW info - a death has been reported related to all the flooding. The coroner says Kimberly Michelle Jackson age 36 … http://t.co/vKkUSYmxaS,2010-08-10 19:09:11
